,title,Author,Genre,Like,Url
626,The First Hunter,dedart / Chanwook Jeon,Action,1000000.0,https://www.webtoons.com/en/action/the-first-hunter/list?title_no=3040
627,The Monster's Bride,Steak / Sang beom,Fantasy,841807.0,https://www.webtoons.com/en/fantasy/the-monsters-bride/list?title_no=3336
628,She's Hopeless,Seokwoo,Drama,5800000.0,https://www.webtoons.com/en/drama/shes-hopeless/list?title_no=2767
629,A Chance At Last,Dindon / Seo hye eun,Romance,1400000.0,https://www.webtoons.com/en/romance/a-chance-at-last/list?title_no=3909
630,'Til Debt Do Us Part,janggreen / Flowbee,Romance,2100000.0,https://www.webtoons.com/en/romance/til-debt-do-us-part/list?title_no=3115
631,Complicated Cohabitation,Hwang Han-Young / I-room,Romance,317796.0,https://www.webtoons.com/en/romance/complicated-cohabitation/list?title_no=4739
632,LUFF,Arechan,Romance,9300000.0,https://www.webtoons.com/en/romance/luff/list?title_no=1489
633,SAVE ME,Big Hit Ent. / LICO,Drama,4200000.0,https://www.webtoons.com/en/drama/bts-save-me/list?title_no=1514
634,Knight Under My Heart,Routine.  j / HAN SungWoo,Action,395636.0,https://www.webtoons.com/en/action/knight-under-my-heart/list?title_no=4215
635,Siren's Lament,instantmiso,Romance,23800000.0,https://www.webtoons.com/en/romance/sirens-lament/list?title_no=632
636,"God, Please Make Me a Demon! ",Bulsa / Yomgary,Comedy,1800000.0,https://www.webtoons.com/en/comedy/god-please-make-me-a-demon/list?title_no=3198
637,Our Beloved Summer,Han Kyoung Chal / Lee Naeun,Romance,732488.0,https://www.webtoons.com/en/romance/our-beloved-summer/list?title_no=3666
638,Flower Pot Crew,Cute Prawn Studios,Drama,33375.0,https://www.webtoons.com/en/drama/flower-pot-crew/list?title_no=5880
639,With Tony,Sung-wan Jung,Slice of life,63555.0,https://www.webtoons.com/en/slice-of-life/with-tony/list?title_no=4289
640,Cierra,Rana / Moona,Romance,1300000.0,https://www.webtoons.com/en/romance/cierra/list?title_no=3670
641,Miss Abbott and the Doctor,Maripaz Villar,Romance,8800000.0,https://www.webtoons.com/en/romance/miss-abbott-and-the-doctor/list?title_no=707
642,Devil Number 4,jangjin / woombeee,Supernatural,13600000.0,https://www.webtoons.com/en/supernatural/devil-no-4/list?title_no=1695
643,The Girl Downstairs (Doona!),MIN SONGA,Romance,4000000.0,https://www.webtoons.com/en/romance/the-girl-downstairs/list?title_no=1809
644,Surviving as a Fish,DONG9,Fantasy,689200.0,https://www.webtoons.com/en/fantasy/surviving-as-a-fish/list?title_no=4634
645,PIGPEN,Carnby Kim / Beom Sick Cheon,Thriller,1900000.0,https://www.webtoons.com/en/thriller/pigpen/list?title_no=2275
646,Kind of Love,Various Artists / WmW,Romance,3000000.0,https://www.webtoons.com/en/romance/kind-of-love/list?title_no=1850
647,Girls of the Wild's,HUN / ZHENA,Action,7800000.0,https://www.webtoons.com/en/action/girls-of-the-wilds/list?title_no=93
648,My Dear Cold-Blooded King,lifelight,Romance,16100000.000000002,https://www.webtoons.com/en/romance/my-dear-cold-blooded-king/list?title_no=961
649,Noblesse,Jeho Son / Kwangsu Lee,Action,21600000.0,https://www.webtoons.com/en/action/noblesse/list?title_no=87
650,Zatanna & the Ripper,Sarah Dealy / Syro,Fantasy,630073.0,https://www.webtoons.com/en/fantasy/zatanna-and-the-ripper/list?title_no=4518
651,Where Tangents Meet,instantmiso,Romance,3000000.0,https://www.webtoons.com/en/romance/where-tangents-meet/list?title_no=421
652,Disconnected from Reality,HHAANN / LIMYE,Thriller,314630.0,https://www.webtoons.com/en/thriller/disconnected-from-reality/list?title_no=4182
653,Promise of an Orchid,Jeong Hyun joo / PARK JIN HWAN,Fantasy,734761.0,https://www.webtoons.com/en/fantasy/promise-of-an-orchid/list?title_no=4015
